,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
122,324586,1660663,Entire home/apt,,Praha 1,21,5.0,4.0,2.0,,255.0,2.0,50.091238,14.433098,2016-03-21 14:12:42.985695
123,327254,1672509,Entire home/apt,,Praha 7,7,5.0,,1.0,1.0,67.0,2.0,50.09963,14.423951,2016-03-21 16:22:56.663242
124,335206,901865,Entire home/apt,,Praha 6,53,4.5,,2.0,1.0,75.0,2.0,50.100875,14.398614,2016-03-21 15:43:28.713016
125,342963,31121,Entire home/apt,,Praha 15,66,5.0,5.0,1.0,1.0,30.0,2.0,50.053226,14.532347,2016-03-21 14:15:45.474969
126,342968,31121,Entire home/apt,,Praha 15,58,5.0,5.0,1.0,1.0,30.0,2.0,50.05426,14.532153,2016-03-21 15:42:08.383468
127,354842,1796561,Entire home/apt,,Praha 3,38,5.0,3.0,1.0,1.0,95.0,2.0,50.07858,14.454896,2016-03-21 14:17:00.699822
128,363381,1335023,Entire home/apt,,Praha 4,105,5.0,,2.0,1.0,52.0,2.0,50.061855,14.43286,2016-03-21 16:07:20.437028
129,374937,850917,Entire home/apt,,Praha 1,65,4.5,2.0,1.0,1.0,61.0,2.0,50.07884,14.430794,2016-03-21 15:29:06.910456
130,384828,1171182,Entire home/apt,,Praha 10,19,5.0,3.0,1.0,1.0,38.0,2.0,50.072458,14.450391,2016-03-21 18:46:05.538518
131,398079,1988345,Private room,,Praha 2,9,4.5,2.0,1.0,1.0,34.0,2.0,50.069772,14.446709,2016-03-21 17:02:04.811705
132,408724,227945,Entire home/apt,,Praha 3,61,4.5,4.0,1.0,1.0,39.0,,50.087047,14.450396,2016-03-21 18:37:31.345479
133,409046,227945,Entire home/apt,,Praha 3,72,4.5,4.0,1.0,1.0,39.0,,50.084696,14.453699,2016-03-21 18:13:26.341067
134,415145,1660663,Entire home/apt,,Praha 1,27,5.0,,4.0,,406.0,3.0,50.090289,14.42408,2016-03-21 16:35:06.267869
135,435072,2161031,Entire home/apt,,Praha 5,207,5.0,4.0,1.0,1.0,43.0,1.0,50.067387,14.367963,2016-03-21 15:56:22.569263
136,437529,2173665,Entire home/apt,,Praha 3,38,4.5,2.0,0.0,1.0,46.0,2.0,50.09129,14.482165,2016-03-21 15:37:33.907199
137,448553,2227448,Entire home/apt,,Praha 2,171,4.5,3.0,1.0,1.0,56.0,3.0,50.071517,14.433099,2016-03-21 15:27:54.859146
