"url","Title link","Title link_link","Locality value","Normprice value","Labelbinding values"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 3+1 79 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-horni-mecholupy-parmska/507236700","Parmská, Praha 10 - Horní Měcholupy","3 300 000 Kč","Panelová"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 3+kk 60 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-uhrineves-/3584741724","Praha 10 - Uhříněves","3 590 000 Kč","Ve výstavbě; Parkování; Částečně vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 2+kk 43 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-ruska/328257884","Ruská, Praha 10 - Vršovice","3 400 000 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 3+1 69 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-strasnice-rubensova/2710622556","Rubensova, Praha 10 - Strašnice","2 895 000 Kč","Družstevní; Po rekonstrukci; Panelová"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 2+kk 45 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hlubocepy-lamacova/2820854108","Lamačova, Praha 5 - Hlubočepy","2 800 000 Kč","Balkon; Panelová"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 2+1 74 m²","https://www.sreality.cz/detail/prodej/byt/2+1/praha-vrsovice-bajkalska/325964124","Bajkalská, Praha 10 - Vršovice","4 290 000 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 2+kk 44 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-na-vackove/1913442652","Na Vackově, Praha 3 - Žižkov","3 350 000 Kč","Balkon"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 3+kk 80 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-uhrineves-saturnova/260039004","Saturnova, Praha 10 - Uhříněves","3 990 000 Kč","Terasa; Parkování"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 2+1 81 m²","https://www.sreality.cz/detail/prodej/byt/2+1/praha-smichov-plzenska/1596883292","Plzeňská, Praha 5 - Smíchov","4 549 000 Kč","Tramvaj 3 min. pěšky; Obchod 2 min. pěšky"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 3+1 65 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-kobylisy-vrsni/2915164508","Vršní, Praha 8 - Kobylisy","3 300 000 Kč","Družstevní; Balkon; Parkování"
